,PERIODO,AREA,REGLA,CONECTOR,SIGLA,PRUEBA,TEST_PUNTAJE_MINIMO,TEST_PUNTAJE_MAXIMO,REGLA_PUNTAJE_MINIMO,REGLA_ATRIBUTO,ESTADO
0,202510,003-61-S02,EDIB0007,A-100,EDIB0007,,,,,,OK
1,202510,003-61-S02,EDIB0007,B-100,,A075,6,10,,,OK
2,202510,003-61-S02,FGHZ0932,A-100,FGHZ0932,,,,,,OK
3,202510,003-61-S02,FGHZ0932,B-100,FGHZ0931,,,,,,OK
4,202510,003-61-S02,FGHZ0932,C-100,FGHZ0933,,,,,,OK
5,202510,003-61-S02,FGHZ0932,C-100,FGHZ0958,,,,,,OK
6,202510,003-61-S02,FGHZ0932,D-100,FGHZ0930,,,,,,OK
7,202510,003-61-S02,FGHZ0932,D-100,FGHZ0958,,,,,,OK
8,202510,003-61-S02,FGHZ0932,E-100,PSIZ1110,,,,,,OK
9,202510,003-61-S02,FGHZ0932,F-100,,A092,6,10,,,OK
10,202510,003-61-S02,FGLZ0180,A-100,FGLZ0180,,,,,,OK
11,202510,003-61-S02,FGLZ0180,B-100,FGLZ0150,,,,,,OK
12,202510,003-61-S02,FGLZ0180,C-100,FGLZ0182,,,,,,OK
13,202510,003-61-S02,FGLZ0180,D-100,VIDA0001,,,,,,OK
14,202510,003-61-S02,FGLZ0180,E-100,,A091,6,10,,,OK
15,202510,003-61-S02,INGZ0222,A-100,INGZ0222,,,,,,OK
16,202510,003-61-S02,INGZ0222,B-100,INGZ0040,,,,,,OK
17,202510,003-61-S02,INGZ0222,C-100,INGZ2222,,,,,,OK
18,202510,003-61-S02,INGZ0222,D-100,INGZ0145,,,,,,OK
19,202510,003-61-S02,INGZ0222,E-100,,ENGC,4,6,,,OK
20,202510,003-61-S02,INGZ0222,F-100,,ENG,4,9,,,OK
21,202510,003-61-S02,INGZ0222,G-100,,,,,,I222,OK
22,202510,003-61-S02,INGZ0222,H-100,INGZ0220,,,,,,OK
23,202510,003-61-S02,PSIZ1220,A-100,PSIZ1220,,,,,,OK
24,202510,003-61-S02,PSIZ1220,B-100,SIGE2270,,,,,,OK
25,202510,003-61-S02,PSIZ1220,C-100,EDIB0001,,,,,,OK
26,202510,003-61-S02,PSIZ1220,D-100,,A073,6,10,,,OK
27,202510,003-61-S03,EDIB0005,A-100,EDIB0005,,,,,,OK
28,202510,003-61-S03,EDIB0005,B-100,SICE3310,,,,,,OK
29,202510,003-61-S03,EDIB0005,C-100,,A070,6,10,,,OK
30,202510,003-61-S03,EDIB0006,A-100,EDIB0006,,,,,,OK
31,202510,003-61-S03,EDIB0006,B-100,,A074,6,10,,,OK
32,202510,003-61-S03,FGHZ0942,A-100,FGHZ0942,,,,,,OK
33,202510,003-61-S03,FGHZ0942,B-100,FGHZ0941,,,,,,OK
34,202510,003-61-S03,FGHZ0942,C-100,FGHZ0959,,,,,,OK
35,202510,003-61-S03,FGHZ0942,C-100,FGHZ0943,,,,,,OK
36,202510,003-61-S03,FGHZ0942,D-100,FGHZ0940,,,,,,OK
37,202510,003-61-S03,FGHZ0942,D-100,FGHZ0959,,,,,,OK
38,202510,003-61-S03,FGHZ0942,E-100,PSIZ9011,,,,,,OK
39,202510,003-61-S03,FGHZ0942,F-100,,A093,6,10,,,OK
40,202510,003-61-S03,INGZ0333,A-100,INGZ0333,,,,,,OK
41,202510,003-61-S03,INGZ0333,B-100,INGZ3333,,,,,,OK
42,202510,003-61-S03,INGZ0333,C-100,INGZ0050,,,,,,OK
43,202510,003-61-S03,INGZ0333,D-100,INGZ0145,,,,,,OK
44,202510,003-61-S03,INGZ0333,E-100,,ENGC,4,6,,,OK
45,202510,003-61-S03,INGZ0333,F-100,,ENG,5,9,,,OK
46,202510,003-61-S03,INGZ0333,G-100,,,,,,I333,OK
47,202510,003-61-S03,INGZ0333,H-100,INGZ0330,,,,,,OK
48,202510,003-61-S03,PSIZ9004,A-100,PSIZ2222,,,,,,OK
49,202510,003-61-S03,PSIZ9004,B-100,PSIZ9005,,,,,,OK
50,202510,003-61-S03,PSIZ9004,C-100,PSIZ9027,,,,,,OK
51,202510,003-61-S03,PSIZ9004,D-100,PSIZ2991,,,,,,OK
52,202510,003-61-S03,PSIZ9004,E-100,EDIB0003,,,,,,OK
53,202510,003-61-S03,PSIZ9004,F-100,,A069,6,10,,,OK
54,202510,003-61-S04,EDIB0008,A-100,EDIB0008,,,,,,OK
55,202510,003-61-S04,EDIB0008,B-100,EDUZ2030,,,,,,OK
56,202510,003-61-S04,EDIB0008,C-100,,A064,6,10,,,OK
57,202510,003-61-S04,EDIB0009,A-100,EDIB0009,,,,,,OK
58,202510,003-61-S04,EDIB0009,B-100,PSIZ1440,,,,,,OK
59,202510,003-61-S04,EDIB0009,C-100,SIGE1345,,,,,,OK
60,202510,003-61-S04,EDIB0009,D-100,,A082,6,10,,,OK
